ci_system,tool,cache_scenario,Duration (s),Memory (MB),CPU (%),Image Size (bytes),Cache Hit Ratio
github-actions,buildah,cold,25.59,216.22,118.67,0,0.0
github-actions,buildah,dirty,16.54,200.36,110.07,0,0.27
github-actions,buildah,warm,0.84,34.43,40.27,0,0.81
github-actions,buildkit,cold,34.69,62.2,1.9,884072469,0.0
github-actions,buildkit,dirty,19.98,61.31,10.1,884071931,0.04
github-actions,buildkit,warm,1.47,61.34,52.6,884072469,0.12
github-actions,kaniko,cold,35.3,0.0,0.0,319914496,0.0
github-actions,kaniko,dirty,35.63,0.0,0.0,319871488,0.0
github-actions,kaniko,warm,36.33,0.0,0.0,319916032,0.0
gitlab-ci,kaniko,cold,20.8,0.0,0.0,319914496,0.0
